station_group_id,station_id,station_name
1,0,Cite
1,1,Saint-Michel
1,4,Odeon
1,5,Cluny - La Sorbonne
1,6,Maubert - Mutualite
1,7,Luxembourg
1,8,Châtelet
1,9,Les Halles
1,10,Les Halles
1,12,Louvre - Rivoli
1,13,Pont Neuf
1,14,Cite
1,15,Hotel de Ville
2,0,Rennes
2,2,Cambronne
2,3,Sevres - Lecourbe
2,4,Segur
2,6,Saint-François-Xavier
2,7,Duroc
2,8,Vaneau
2,9,Sevres - Babylone
2,10,Rue du Bac
2,11,Rennes
2,12,Saint-Sulpice
2,14,Mabillon
2,15,Saint-Germain-des-Pres
3,0,Villette
3,4,Porte de la Villette
3,5,Aubervilliers - Pantin - Quatre Chemins
3,6,Fort d'Aubervilliers
3,7,La Courneuve - 8 Mai 1945
3,9,Hoche
3,10,Eglise de Pantin
3,11,Bobigny - Pantin - Raymond Queneau
3,12,Bobigny - Pablo Picasso
4,0,Montparnasse
4,2,Pernety
4,3,Plaisance
4,4,Gaite
4,6,Edgar Quinet
4,7,Vavin
4,8,Montparnasse - Bienvenue
4,12,Saint-Placide
4,14,Notre-Dame-des-Champs
5,0,Nation
5,2,Robespierre
5,3,Porte de Montreuil
5,4,Maraichers
5,5,Buzenval
5,6,Rue des Boulets
5,7,Porte de Vincennes
5,9,Picpus
5,10,Nation
5,12,Avron
5,13,Alexandre Dumas
6,0,Saint-Lazare
6,1,Malesherbes
6,2,Monceau
6,3,Villiers
6,4,Quatre-Septembre
6,5,Opera
6,6,Auber
6,7,Havre - Caumartin
6,8,Saint-Lazare
6,9,Saint-Lazare
6,10,Saint-Augustin
6,12,Europe
6,13,Liege
7,0,Auteuil
7,3,Porte de Saint-Cloud
7,7,Porte d'Auteuil
7,8,Eglise d'Auteuil
7,9,Michel-Ange - Auteuil
7,10,Michel-Ange - Molitor
7,11,Chardon-Lagache
7,12,Mirabeau
7,14,Exelmans
7,15,Jasmin
8,0,Republique
8,1,Rambuteau
8,3,Arts et Metiers
8,4,Jacques Bonsergent
8,5,Goncourt
8,6,Temple
8,7,Republique
8,10,Oberkampf
8,11,Parmentier
8,12,Filles du Calvaire
8,13,Saint-Sebastien - Froissart
8,14,Richard-Lenoir
8,15,Saint-Ambroise
9,0,Austerlitz
9,1,Quai de la Gare
9,2,Chevaleret
9,4,Saint-Marcel
9,7,Gare d'Austerlitz
9,8,Gare de Lyon
9,10,Quai de la Rapee
10,0,Invalides
10,1,Champs-Elysees - Clemenceau
10,2,Concorde
10,3,Madeleine
10,4,Bir-Hakeim
10,7,Ecole Militaire
10,8,La Tour-Maubourg
10,9,Invalides
10,11,Saint-Denis - Universite
10,12,Varenne
10,13,Assemblee nationale
10,14,Solferino
11,0,Sentier
11,1,Tuileries
11,2,Palais Royal - Musee du Louvre
