station_group_id,station_id,station_sub_id,station_name
1,0,1,Chatelet-Les Halles
1,1,1,Chatelet-Les Halles
1,7,1,Luxembourg
3,0,1,Saint-Michel Notre-Dame
6,0,1,Auber
6,6,1,Auber
14,4,1,Cite Universitaire
15,12,1,Port Royal
16,1,1,Nation
16,2,1,Fontenay-sous-Bois
16,2,2,Vincennes
16,3,1,Joinville-le-Pont
16,3,2,Nogent-sur-Marne
16,4,1,Saint-Maur Creteil
16,5,1,Le Parc de Saint-Maur
16,6,1,Champigny
16,7,1,La Varenne-Chennevieres
16,8,1,Boissy-Saint-Leger
16,8,2,Sucy Bonneuil
17,1,1,Charles de Gaulle-Etoile
17,4,1,La Defense (Grande Arche)
17,5,1,Nanterre-Ville
17,6,1,Rueil-Malmaison
17,8,1,Chatou-Croissy
17,9,1,Le Vesinet-Centre
17,9,2,Le Vesinet-Le Pecq
17,9,3,Saint-Germain-en-Laye
18,0,1,Denfert-Rochereau
18,1,1,Gentilly
18,2,1,Arcueil-Cachan
18,2,2,Laplace
18,3,1,Bagneux
18,3,2,Bourg-la-Reine
18,4,1,La Croix-de-Berny
18,4,2,Parc de Sceaux
18,5,1,Antony
18,5,2,Fontaine-Michalon
18,5,3,Les Baconnets
18,6,1,Massy-Palaiseau
18,6,2,Massy-Verrieres
18,7,1,Palaiseau Villebon
18,7,2,Palaiseau
18,8,1,Lozere
18,9,1,Le Guichet
18,9,2,Orsay-Ville
18,10,1,Bures-sur-Yvette
18,10,2,Courcelle-sur-Yvette
18,10,3,Gif-sur-Yvette
18,10,4,La Hacquiniere
18,10,5,Saint-Remy-les-Chevreuse
20,1,1,Gare de l'Est
20,4,1,Pantin
20,5,1,Noisy-le-Sec
20,6,1,Bondy
20,7,1,Gagny
20,7,2,Le Raincy Villemomble Montfermeil
20,9,1,Chelles Gournay
20,9,2,Le Chenay Gagny
20,10,1,Vaires Torcy
20,11,1,Lagny-Thorigny
20,13,1,Esbly
20,14,1,Meaux
20,15,1,Changis-Saint-Jean
20,15,2,Isles-Armentieres Congis
20,15,3,Lizy-sur-Ourcq
20,15,4,Trilport
20,16,1,Crouy-sur-Ourcq
20,16,2,La Ferte-sous-Jouarre
20,16,3,Nanteuil Saacy
21,5,1,Rosny-Bois-Perrier
21,5,2,Rosny-sous-Bois
21,5,3,Val de Fontenay
21,6,1,Nogent Le-Perreux
21,7,1,Les Boullereaux Champigny
21,8,1,Villiers-sur-Marne Plessis-Trevise
21,9,1,Les Yvris Noisy-le-Grand
21,10,1,Emerainville Pontault-Combault
21,10,2,Roissy-en-Brie
21,11,1,Ozoir-la-Ferriere
21,12,1,Gretz-Armainvilliers
21,12,2,Tournan
21,15,1,Courquetaine
21,15,2,Faremoutiers Pommeuse
21,15,3,Guerard La-Celle-sur-Morin
21,15,4,Liverdy en Brie
21,15,5,Marles-en-Brie
21,15,6,Mormant
21,15,7,Mortcerf
21,15,8,Mouroux
